Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Testsuite_02,Firefox 122.0,,,03-02-2024 18:04:26,03-02-2024 18:05:28,1m - 2.615s,PASSED
,,,,,,,
Test Cases/Buttons/TC_droupdown validation_001,Firefox 122.0,,,03-02-2024 18:04:27,03-02-2024 18:05:04,37.451s,PASSED
"openBrowser("""")",Firefox 122.0,,,03-02-2024 18:04:29,03-02-2024 18:04:42,12.923s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 122.0,,,03-02-2024 18:04:42,03-02-2024 18:04:53,11.748s,PASSED
"click(findTestObject(""Object Repository/Buttons_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Firefox 122.0,,,03-02-2024 18:04:53,03-02-2024 18:04:56,2.470s,PASSED
"setText(findTestObject(""Object Repository/Buttons_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 122.0,,,03-02-2024 18:04:56,03-02-2024 18:04:57,1.282s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Buttons_OR/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 122.0,,,03-02-2024 18:04:57,03-02-2024 18:04:58,0.807s,PASSED
"click(findTestObject(""Object Repository/Buttons_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 122.0,,,03-02-2024 18:04:58,03-02-2024 18:05:01,2.722s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Buttons_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Firefox 122.0,,,03-02-2024 18:05:01,03-02-2024 18:05:02,1.728s,PASSED
"click(findTestObject(""Object Repository/Buttons_OR/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Firefox 122.0,,,03-02-2024 18:05:02,03-02-2024 18:05:03,0.571s,PASSED
"click(findTestObject(""Object Repository/Buttons_OR/Page_CURA Healthcare Service/td_3""))",Firefox 122.0,,,03-02-2024 18:05:03,03-02-2024 18:05:03,0.641s,PASSED
"click(findTestObject(""Object Repository/Buttons_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Firefox 122.0,,,03-02-2024 18:05:03,03-02-2024 18:05:04,0.892s,PASSED
,,,,,,,
Test Cases/Buttons/TC_validate_inputbuttons,Firefox 122.0,,,03-02-2024 18:05:04,03-02-2024 18:05:28,23.862s,PASSED
"openBrowser("""")",Firefox 122.0,,,03-02-2024 18:05:05,03-02-2024 18:05:15,9.815s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 122.0,,,03-02-2024 18:05:15,03-02-2024 18:05:24,8.983s,PASSED
"click(findTestObject(""Object Repository/Buttons_OR/cura_validate_inputbuttons_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Firefox 122.0,,,03-02-2024 18:05:24,03-02-2024 18:05:25,1.380s,PASSED
"setText(findTestObject(""Object Repository/Buttons_OR/cura_validate_inputbuttons_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 122.0,,,03-02-2024 18:05:25,03-02-2024 18:05:26,0.739s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Buttons_OR/cura_validate_inputbuttons_OR/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 122.0,,,03-02-2024 18:05:26,03-02-2024 18:05:26,0.468s,PASSED
"click(findTestObject(""Object Repository/Buttons_OR/cura_validate_inputbuttons_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 122.0,,,03-02-2024 18:05:26,03-02-2024 18:05:28,2.121s,PASSED
